dc,Station Number,Station Name,Latitude,Longitude,Height above MSL,Month Day Year in YYYY-MM-DD format,Precipitation in the 24 hours before 9am (local time) in mm,Quality of precipitation value,Number of days of rain within the days of accumulation,Accumulated number of days over which the precipitation was measured,Maximum temperature in 24 hours after 9am (local time) in Degrees C,Quality of maximum temperature in 24 hours after 9am (local time),Days of accumulation of maximum temperature,Minimum temperature in 24 hours before 9am (local time) in Degrees C,Quality of minimum temperature in 24 hours before 9am (local time),Days of accumulation of minimum temperature,Average daily dew point temperature in Degrees C,Quality of overall dew point temperature observations used,Relative humidity for observation at 09 hours Local Time in percentage %,Quality of relative humidity for observation at 09 hours Local Time,Relative humidity for observation at 15 hours Local Time in percentage %,Quality of relative humidity for observation at 15 hours Local Time,Wind speed at 09 hours Local Time measured in km/h,Quality of wind speed at 09 hours Local Time,Wind speed at 15 hours Local Time measured in km/h,Quality of wind speed at 15 hours Local Time,Wind direction at 09 hours Local Time as 16 compass point text,Quality of wind direction at 09 hours Local Time,Wind direction at 15 hours Local Time as 16 compass point text,Quality of wind direction at 15 hours Local Time,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-03-17,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-03-18,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-03-19,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-03-20,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-03-21,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-03-22,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-03-23,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-03-24,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-03-25,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-03-26,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-03-27,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-03-28,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-03-29,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-03-30,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-03-31,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-04-01,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-04-02,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-04-03,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-04-04,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-04-05,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-04-06,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-04-07,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-04-08,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-04-09,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-04-10,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-04-11,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-04-12,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-04-13,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-04-14,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-04-15,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-04-16,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-04-17,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-04-18,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-04-19,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-04-20,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-04-21,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-04-22,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-04-23,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-04-24,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-04-25,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-04-26,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-04-27,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-04-28,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-04-29,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-04-30,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-05-01,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-05-02,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-05-03,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-05-04,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-05-05,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-05-06,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-05-07,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-05-08,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-05-09,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-05-10,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-05-11,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-05-12,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-05-13,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-05-14,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-05-15,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-05-16,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-05-17,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-05-18,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-05-19,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-05-20,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-05-21,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-05-22,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-05-23,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-05-24,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-05-25,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-05-26,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-05-27,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-05-28,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-05-29,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-05-30,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-05-31,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-06-01,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-06-02,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-06-03,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-06-04,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-06-05,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-06-06,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-06-07,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-06-08,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-06-09,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-06-10,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-06-11,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-06-12,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-06-13,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-06-14,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-06-15,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-06-16,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-06-17,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-06-18,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-06-19,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-06-20,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-06-21,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-06-22,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-06-23,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-06-24,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-06-25,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-06-26,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-06-27,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-06-28,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-06-29,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-06-30,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-07-01,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-07-02,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-07-03,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-07-04,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-07-05,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-07-06,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-07-07,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-07-08,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-07-09,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-07-10,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-07-11,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-07-12,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-07-13,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-07-14,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-07-15,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-07-16,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-07-17,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-07-18,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-07-19,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-07-20,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-07-21,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-07-22,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-07-23,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2001-07-24,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
