dc,Station Number,Station Name,Latitude,Longitude,Height above MSL,Month Day Year in YYYY-MM-DD format,Precipitation in the 24 hours before 9am (local time) in mm,Quality of precipitation value,Number of days of rain within the days of accumulation,Accumulated number of days over which the precipitation was measured,Maximum temperature in 24 hours after 9am (local time) in Degrees C,Quality of maximum temperature in 24 hours after 9am (local time),Days of accumulation of maximum temperature,Minimum temperature in 24 hours before 9am (local time) in Degrees C,Quality of minimum temperature in 24 hours before 9am (local time),Days of accumulation of minimum temperature,Average daily dew point temperature in Degrees C,Quality of overall dew point temperature observations used,Wind speed at 00 hours Local Time measured in km/h,Quality of wind speed at 00 hours Local Time,Wind speed at 03 hours Local Time measured in km/h,Quality of wind speed at 03 hours Local Time,Wind speed at 06 hours Local Time measured in km/h,Quality of wind speed at 06 hours Local Time,Wind speed at 09 hours Local Time measured in km/h,Quality of wind speed at 09 hours Local Time,Wind speed at 12 hours Local Time measured in km/h,Quality of wind speed at 12 hours Local Time,Wind speed at 15 hours Local Time measured in km/h,Quality of wind speed at 15 hours Local Time,Wind speed at 18 hours Local Time measured in km/h,Quality of wind speed at 18 hours Local Time,Wind speed at 21 hours Local Time measured in km/h,Quality of wind speed at 21 hours Local Time,Wind direction at 00 hours Local Time as 16 compass point text,Quality of wind direction at 00 hours Local Time,Wind direction at 03 hours Local Time as 16 compass point text,Quality of wind direction at 03 hours Local Time,Wind direction at 06 hours Local Time as 16 compass point text,Quality of wind direction at 06 hours Local Time,Wind direction at 09 hours Local Time as 16 compass point text,Quality of wind direction at 09 hours Local Time,Wind direction at 12 hours Local Time as 16 compass point text,Quality of wind direction at 12 hours Local Time,Wind direction at 15 hours Local Time as 16 compass point text,Quality of wind direction at 15 hours Local Time,Wind direction at 18 hours Local Time as 16 compass point text,Quality of wind direction at 18 hours Local Time,Wind direction at 21 hours Local Time as 16 compass point text,Quality of wind direction at 21 hours Local Time,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-06-11,   0.0,N,  ,  , 30.0,Y,  , 24.0,Y,  ,     , ,  9.4,Y, 11.2,Y, 11.2,Y, 13.0,Y, 14.8,Y, 14.8,Y, 14.8,Y, 14.8,Y,SSE  ,Y,SSE  ,Y,SE   ,Y,SSE  ,Y,ESE  ,Y,E    ,Y,ESE  ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-06-12,   0.2,N,  , 1, 31.0,Y,  , 24.0,Y,  ,     , ,  9.4,Y, 13.0,Y, 11.2,Y, 14.8,Y, 18.4,Y, 11.2,Y,  7.6,Y,  9.4,Y,SE   ,Y,SE   ,Y,SE   ,Y,SE   ,Y,ESE  ,Y,E    ,Y,ENE  ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-06-13,   0.0,N,  ,  , 30.0,Y,  , 23.0,Y,  ,     , , 13.0,Y, 11.2,Y, 16.6,Y, 20.5,Y, 18.4,Y, 16.6,Y, 11.2,Y, 13.0,Y,SE   ,Y,SSE  ,Y,ESE  ,Y,SE   ,Y,ESE  ,Y,E    ,Y,ESE  ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-06-14,   0.0,N,  ,  , 31.0,Y,  , 21.0,Y,  ,     , ,  5.4,Y,  5.4,Y,  5.4,Y,  9.4,Y, 20.5,Y, 14.8,Y, 11.2,Y, 13.0,Y,SSE  ,Y,SSE  ,Y,ESE  ,Y,SE   ,Y,E    ,Y,E    ,Y,ESE  ,Y,SSE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-06-15,   0.0,N,  ,  , 31.0,Y,  , 21.0,Y,  ,     , , 13.0,Y, 14.8,Y,  7.6,Y,  9.4,Y, 20.5,Y, 14.8,Y, 13.0,Y, 16.6,Y,SSE  ,Y,SE   ,Y,S    ,Y,SE   ,Y,SE   ,Y,ESE  ,Y,ESE  ,Y,SSE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-06-16,   0.0,N,  ,  , 29.0,Y,  , 20.0,Y,  ,     , , 13.0,Y, 14.8,Y, 11.2,Y, 14.8,Y, 16.6,Y, 18.4,Y, 14.8,Y, 20.5,Y,SSE  ,Y,SSE  ,Y,SSE  ,Y,SSE  ,Y,SE   ,Y,SE   ,Y,SE   ,Y,SSE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-06-17,   0.0,N,  ,  , 29.0,Y,  , 20.0,Y,  ,     , , 14.8,Y, 18.4,Y, 14.8,Y, 20.5,Y, 18.4,Y, 14.8,Y, 14.8,Y, 11.2,Y,SSE  ,Y,SSE  ,Y,SSE  ,Y,SE   ,Y,SE   ,Y,SE   ,Y,SE   ,Y,SSE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-06-18,   0.6,N,  , 1, 31.0,Y,  , 21.0,Y,  ,     , ,  7.6,Y, 16.6,Y, 14.8,Y, 11.2,Y, 24.1,Y, 16.6,Y, 16.6,Y, 14.8,Y,SSE  ,Y,SSE  ,Y,SSE  ,Y,SSE  ,Y,SE   ,Y,ESE  ,Y,ESE  ,Y,SE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-06-19,   0.0,N,  ,  , 30.0,Y,  , 21.0,Y,  ,     , , 16.6,Y,  9.4,Y, 11.2,Y, 14.8,Y, 20.5,Y, 20.5,Y, 11.2,Y, 16.6,Y,SSE  ,Y,SSE  ,Y,SE   ,Y,SSE  ,Y,SE   ,Y,ESE  ,Y,ESE  ,Y,SE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-06-20,   0.0,N,  ,  , 30.0,Y,  , 20.0,Y,  ,     , , 13.0,Y, 14.8,Y, 14.8,Y, 16.6,Y, 20.5,Y, 20.5,Y, 11.2,Y, 13.0,Y,SSE  ,Y,SSE  ,Y,SSE  ,Y,SSE  ,Y,SE   ,Y,ESE  ,Y,ESE  ,Y,SSE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-06-21,   0.0,N,  ,  , 29.0,Y,  , 21.0,Y,  ,     , , 13.0,Y, 11.2,Y, 16.6,Y, 20.5,Y, 25.9,Y, 20.5,Y, 14.8,Y, 14.8,Y,SSE  ,Y,SSE  ,Y,SSE  ,Y,SSE  ,Y,SE   ,Y,SE   ,Y,SE   ,Y,S    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-06-22,   0.0,N,  ,  , 28.0,Y,  , 23.0,Y,  ,     , , 14.8,Y, 18.4,Y, 18.4,Y, 22.3,Y, 31.3,Y, 24.1,Y, 18.4,Y, 22.3,Y,SSE  ,Y,SSE  ,Y,SSE  ,Y,SSE  ,Y,SE   ,Y,SE   ,Y,SSE  ,Y,SE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-06-23,   0.0,N,  ,  , 29.0,Y,  , 22.0,Y,  ,     , , 22.3,Y, 20.5,Y, 16.6,Y, 18.4,Y, 20.5,Y, 22.3,Y, 14.8,Y, 13.0,Y,SSE  ,Y,SSE  ,Y,SSE  ,Y,SE   ,Y,SE   ,Y,SE   ,Y,SE   ,Y,SSE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-06-24,   0.0,N,  ,  , 30.0,Y,  , 23.0,Y,  ,     , , 16.6,Y, 16.6,Y, 16.6,Y, 20.5,Y, 22.3,Y, 14.8,Y, 20.5,Y, 11.2,Y,SE   ,Y,SSE  ,Y,SSE  ,Y,SSE  ,Y,SE   ,Y,ESE  ,Y,SE   ,Y,SSE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-06-25,   0.0,N,  ,  , 31.0,Y,  , 21.0,Y,  ,     , , 11.2,Y, 11.2,Y, 18.4,Y, 20.5,Y, 16.6,Y, 16.6,Y, 13.0,Y, 14.8,Y,SSE  ,Y,SSE  ,Y,SSE  ,Y,SSE  ,Y,SE   ,Y,SE   ,Y,SE   ,Y,SSE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-06-26,   0.0,N,  ,  , 30.0,Y,  , 20.0,Y,  ,     , , 11.2,Y, 13.0,Y, 14.8,Y, 14.8,Y, 20.5,Y, 18.4,Y, 14.8,Y, 16.6,Y,SSE  ,Y,SSE  ,Y,SSE  ,Y,SE   ,Y,SE   ,Y,E    ,Y,E    ,Y,SE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-06-27,   0.0,N,  ,  , 30.0,Y,  , 21.0,Y,  ,     , , 11.2,Y, 13.0,Y, 11.2,Y, 13.0,Y, 18.4,Y, 24.1,Y, 13.0,Y,  7.6,Y,SSE  ,Y,SSE  ,Y,SSE  ,Y,SE   ,Y,ESE  ,Y,ESE  ,Y,SE   ,Y,S    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-06-28,   1.0,N,  , 1, 30.0,Y,  , 22.0,Y,  ,     , , 11.2,Y, 13.0,Y, 13.0,Y, 14.8,Y, 16.6,Y, 16.6,Y,  9.4,Y, 11.2,Y,SSE  ,Y,S    ,Y,SSE  ,Y,SSE  ,Y,ESE  ,Y,E    ,Y,E    ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-06-29,   0.0,N,  ,  , 31.0,Y,  , 21.0,Y,  ,     , ,  9.4,Y, 11.2,Y, 11.2,Y, 16.6,Y, 16.6,Y, 16.6,Y, 11.2,Y, 16.6,Y,SSE  ,Y,SE   ,Y,SE   ,Y,SSE  ,Y,SE   ,Y,SE   ,Y,SE   ,Y,SSE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-06-30,   0.0,N,  ,  , 29.0,Y,  , 18.0,Y,  ,     , ,  7.6,Y,  9.4,Y,  9.4,Y, 18.4,Y, 18.4,Y, 14.8,Y, 13.0,Y, 20.5,Y,SE   ,Y,SSE  ,Y,SSE  ,Y,SSE  ,Y,SSE  ,Y,ESE  ,Y,ESE  ,Y,SE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-07-01,   0.0,N,  ,  , 30.0,Y,  , 19.0,Y,  ,     , , 16.6,Y, 14.8,Y, 14.8,Y, 20.5,Y, 16.6,Y, 18.4,Y, 11.2,Y, 16.6,Y,SE   ,Y,SE   ,Y,SSE  ,Y,SE   ,Y,ESE  ,Y,ESE  ,Y,ESE  ,Y,SE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-07-02,   7.0,N,  , 1, 27.0,Y,  , 21.0,Y,  ,     , , 14.8,Y, 14.8,Y, 13.0,Y, 11.2,Y, 18.4,Y, 14.8,Y, 22.3,Y, 20.5,Y,SE   ,Y,E    ,Y,SSE  ,Y,SSE  ,Y,SE   ,Y,SSE  ,Y,SE   ,Y,SE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-07-03,  15.0,N,  , 1, 27.0,Y,  , 21.0,Y,  ,     , , 20.5,Y, 20.5,Y,     , , 22.3,Y, 14.8,Y, 13.0,Y, 14.8,Y,  9.4,Y,SE   ,Y,SE   ,Y,     , ,SE   ,Y,SE   ,Y,SE   ,Y,ESE  ,Y,SE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-07-04,   3.0,N,  , 1, 28.0,Y,  , 21.0,Y,  ,     , , 11.2,Y, 11.2,Y,  7.6,Y, 14.8,Y, 14.8,Y, 13.0,Y,  9.4,Y,  9.4,Y,SE   ,Y,SE   ,Y,SE   ,Y,SE   ,Y,E    ,Y,E    ,Y,ENE  ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-07-05,   1.0,N,  , 1, 29.0,Y,  , 21.0,Y,  ,     , ,  7.6,Y,  5.4,Y,  9.4,Y, 14.8,Y, 18.4,Y, 16.6,Y,  9.4,Y, 14.8,Y,ESE  ,Y,SE   ,Y,SSE  ,Y,SE   ,Y,ESE  ,Y,ESE  ,Y,E    ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-07-06,   0.2,N,  , 1, 29.0,Y,  , 19.0,Y,  ,     , ,  5.4,Y,  7.6,Y,  9.4,Y, 11.2,Y, 18.4,Y, 14.8,Y,  9.4,Y,  7.6,Y,SE   ,Y,SSE  ,Y,SSE  ,Y,SE   ,Y,E    ,Y,E    ,Y,ENE  ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-07-07,   0.0,N,  ,  , 29.0,Y,  , 18.0,Y,  ,     , ,  7.6,Y,  7.6,Y,  9.4,Y, 13.0,Y, 20.5,Y, 13.0,Y, 13.0,Y,  7.6,Y,SSE  ,Y,SSE  ,Y,SSE  ,Y,SE   ,Y,ESE  ,Y,ESE  ,Y,ESE  ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-07-08,   0.0,N,  ,  , 29.0,Y,  , 18.0,Y,  ,     , ,  7.6,Y,  7.6,Y,  5.4,Y, 11.2,Y, 18.4,Y, 14.8,Y, 11.2,Y,  9.4,Y,SE   ,Y,SSE  ,Y,SSE  ,Y,SE   ,Y,E    ,Y,E    ,Y,ESE  ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-07-09,   0.0,N,  ,  , 29.0,Y,  , 17.0,Y,  ,     , ,  5.4,Y,  9.4,Y,  7.6,Y,  9.4,Y, 13.0,Y, 13.0,Y, 11.2,Y,  9.4,Y,SSE  ,Y,SSE  ,Y,SSE  ,Y,SE   ,Y,ESE  ,Y,ESE  ,Y,ENE  ,Y,ENE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-07-10,   0.0,N,  ,  , 30.0,Y,  , 18.0,Y,  ,     , , 13.0,Y,  5.4,Y,  7.6,Y,  9.4,Y, 14.8,Y, 13.0,Y,  7.6,Y,  9.4,Y,SSE  ,Y,SSE  ,Y,SSE  ,Y,ESE  ,Y,E    ,Y,E    ,Y,E    ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-07-11,   0.2,N,  , 1, 30.0,Y,  , 19.0,Y,  ,     , ,  7.6,Y,  7.6,Y, 11.2,Y, 11.2,Y, 13.0,Y, 11.2,Y, 11.2,Y,  7.6,Y,ESE  ,Y,SSE  ,Y,ESE  ,Y,E    ,Y,E    ,Y,E    ,Y,NE   ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-07-12,   0.2,N,  , 1, 30.0,Y,  , 21.0,Y,  ,     , ,  7.6,Y,  7.6,Y,  9.4,Y,  9.4,Y, 14.8,Y, 13.0,Y,  7.6,Y,  9.4,Y,SE   ,Y,ESE  ,Y,SSE  ,Y,SE   ,Y,ESE  ,Y,E    ,Y,ENE  ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-07-13,   0.0,N,  ,  , 30.0,Y,  , 21.0,Y,  ,     , ,  7.6,Y,  5.4,Y,  9.4,Y, 14.8,Y, 16.6,Y, 18.4,Y, 11.2,Y, 13.0,Y,ESE  ,Y,S    ,Y,SSE  ,Y,SSE  ,Y,ESE  ,Y,SE   ,Y,ESE  ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-07-14,   0.0,N,  ,  , 30.0,Y,  , 19.0,Y,  ,     , ,  9.4,Y,  7.6,Y,  5.4,Y, 13.0,Y, 16.6,Y,     , ,  9.4,Y,  9.4,Y,SE   ,Y,SE   ,Y,S    ,Y,SE   ,Y,ESE  ,Y,     , ,E    ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-07-15,   0.0,N,  ,  , 30.0,Y,  , 22.0,Y,  ,     , ,  7.6,Y, 13.0,Y, 16.6,Y, 16.6,Y, 18.4,Y, 18.4,Y,  9.4,Y,  9.4,Y,ESE  ,Y,SE   ,Y,SE   ,Y,SE   ,Y,ESE  ,Y,E    ,Y,ESE  ,Y,SE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-07-16,   0.0,N,  ,  , 29.0,Y,  , 21.0,Y,  ,     , , 14.8,Y,  9.4,Y,     , , 14.8,Y, 13.0,Y, 18.4,Y,  9.4,Y, 11.2,Y,SE   ,Y,SE   ,Y,     , ,SE   ,Y,ESE  ,Y,ESE  ,Y,E    ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-07-17,   0.0,N,  ,  , 30.0,Y,  , 22.0,Y,  ,     , ,  7.6,Y,  5.4,Y,  5.4,Y, 13.0,Y, 14.8,Y, 13.0,Y, 11.2,Y,  7.6,Y,ESE  ,Y,SE   ,Y,S    ,Y,SSE  ,Y,E    ,Y,E    ,Y,NE   ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-07-18,   0.0,N,  ,  , 31.0,Y,  , 22.0,Y,  ,     , , 11.2,Y,     , ,     , , 14.8,Y, 18.4,Y, 18.4,Y, 13.0,Y, 14.8,Y,ESE  ,Y,     , ,     , ,SE   ,Y,ESE  ,Y,ESE  ,Y,E    ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-07-19,   0.0,N,  ,  , 31.0,Y,  , 21.0,Y,  ,     , , 13.0,Y,     , ,     , , 18.4,Y, 18.4,Y, 18.4,Y,  9.4,Y, 14.8,Y,SSE  ,Y,     , ,     , ,SSE  ,Y,ESE  ,Y,ESE  ,Y,ENE  ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-07-20,   0.0,N,  ,  , 30.0,Y,  , 21.0,Y,  ,     , , 13.0,Y, 14.8,Y,  9.4,Y, 20.5,Y, 24.1,Y, 18.4,Y, 13.0,Y, 13.0,Y,SE   ,Y,SSE  ,Y,SSE  ,Y,SE   ,Y,ESE  ,Y,ESE  ,Y,ESE  ,Y,SE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-07-21,   0.0,N,  ,  , 30.0,Y,  , 21.0,Y,  ,     , , 11.2,Y, 14.8,Y, 16.6,Y, 18.4,Y, 22.3,Y, 16.6,Y, 14.8,Y, 13.0,Y,SE   ,Y,SSE  ,Y,SSE  ,Y,SE   ,Y,ESE  ,Y,ESE  ,Y,ESE  ,Y,SE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-07-22,   0.0,N,  ,  , 30.0,Y,  , 19.0,Y,  ,     , , 11.2,Y, 13.0,Y,     , , 11.2,Y, 16.6,Y, 16.6,Y, 13.0,Y, 11.2,Y,S    ,Y,SSE  ,Y,     , ,SE   ,Y,ESE  ,Y,SE   ,Y,ESE  ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-07-23,   0.0,N,  ,  , 30.0,Y,  , 19.0,Y,  ,     , ,  9.4,Y,     , ,     , , 11.2,Y, 14.8,Y, 20.5,Y, 13.0,Y, 11.2,Y,SSE  ,Y,     , ,     , ,SE   ,Y,ESE  ,Y,ESE  ,Y,ESE  ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-07-24,   0.0,N,  ,  , 30.0,Y,  , 19.0,Y,  ,     , , 14.8,Y,  9.4,Y, 11.2,Y, 11.2,Y, 20.5,Y, 18.4,Y, 18.4,Y, 16.6,Y,SE   ,Y,SSE  ,Y,SSE  ,Y,SE   ,Y,ESE  ,Y,ESE  ,Y,ESE  ,Y,SE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-07-25,   0.0,N,  ,  , 30.0,Y,  , 20.0,Y,  ,     , , 14.8,Y, 14.8,Y, 16.6,Y, 20.5,Y, 24.1,Y, 22.3,Y, 16.6,Y, 18.4,Y,SSE  ,Y,S    ,Y,S    ,Y,S    ,Y,SE   ,Y,SE   ,Y,SE   ,Y,SE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-07-26,   0.0,N,  ,  , 26.0,Y,  , 19.0,Y,  ,     , , 22.3,Y, 18.4,Y, 20.5,Y, 16.6,Y, 33.5,Y, 25.9,Y, 18.4,Y, 16.6,Y,SSE  ,Y,SSE  ,Y,SSE  ,Y,SE   ,Y,SSE  ,Y,SSE  ,Y,SSE  ,Y,SE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-07-27,   0.0,N,  ,  , 28.0,Y,  , 18.0,Y,  ,     , , 18.4,Y, 11.2,Y, 18.4,Y, 24.1,Y, 24.1,Y, 25.9,Y, 18.4,Y, 20.5,Y,SSE  ,Y,SSE  ,Y,SSE  ,Y,SE   ,Y,SE   ,Y,SSE  ,Y,SE   ,Y,SSE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-07-28,   0.0,N,  ,  , 29.0,Y,  , 18.0,Y,  ,     , , 11.2,Y, 20.5,Y, 27.7,Y, 25.9,Y, 18.4,Y, 16.6,Y, 13.0,Y, 16.6,Y,SE   ,Y,SE   ,Y,SSE  ,Y,SE   ,Y,SSE  ,Y,S    ,Y,SE   ,Y,SSE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-07-29,   0.0,N,  ,  , 30.0,Y,  , 17.0,Y,  ,     , , 20.5,Y, 13.0,Y, 14.8,Y, 20.5,Y, 20.5,Y, 14.8,Y, 11.2,Y, 18.4,Y,SSE  ,Y,SE   ,Y,SSE  ,Y,SSE  ,Y,SE   ,Y,ESE  ,Y,E    ,Y,SE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-07-30,   0.0,N,  ,  , 29.0,Y,  , 15.0,Y,  ,     , , 14.8,Y,  0.0,Y,  7.6,Y, 14.8,Y, 18.4,Y, 16.6,Y, 13.0,Y, 11.2,Y,SSE  ,Y,CALM ,Y,SSE  ,Y,SSE  ,Y,ESE  ,Y,ESE  ,Y,E    ,Y,SE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-07-31,   0.0,N,  ,  , 29.0,Y,  , 16.0,Y,  ,     , , 11.2,Y,  9.4,Y,  9.4,Y,  9.4,Y, 18.4,Y, 13.0,Y,  9.4,Y,  9.4,Y,SE   ,Y,SSE  ,Y,SSE  ,Y,SE   ,Y,E    ,Y,ESE  ,Y,ENE  ,Y,SE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-08-01,   0.0,N,  ,  , 29.0,Y,  , 19.0,Y,  ,     , , 13.0,Y, 13.0,Y, 13.0,Y, 11.2,Y, 13.0,Y, 13.0,Y, 11.2,Y,  9.4,Y,SE   ,Y,SE   ,Y,ESE  ,Y,ESE  ,Y,ESE  ,Y,E    ,Y,ENE  ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-08-02,   0.0,N,  ,  , 29.0,Y,  , 18.0,Y,  ,     , ,  9.4,Y, 11.2,Y,  9.4,Y, 14.8,Y, 16.6,Y, 13.0,Y, 11.2,Y, 11.2,Y,SSE  ,Y,SSE  ,Y,ESE  ,Y,SE   ,Y,E    ,Y,E    ,Y,ENE  ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-08-03,   0.0,N,  ,  , 31.0,Y,  , 20.0,Y,  ,     , ,  7.6,Y,  9.4,Y,  9.4,Y, 13.0,Y, 13.0,Y, 14.8,Y, 11.2,Y, 11.2,Y,SSE  ,Y,SE   ,Y,SE   ,Y,SE   ,Y,E    ,Y,E    ,Y,ENE  ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-08-04,   0.2,N,  , 1, 31.0,Y,  , 20.0,Y,  ,     , ,  9.4,Y,  9.4,Y,  9.4,Y, 13.0,Y, 18.4,Y, 13.0,Y, 11.2,Y, 11.2,Y,SE   ,Y,SE   ,Y,SE   ,Y,SE   ,Y,E    ,Y,ESE  ,Y,E    ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-08-05,   0.0,N,  ,  , 31.0,Y,  , 20.0,Y,  ,     , , 13.0,Y, 14.8,Y,  9.4,Y, 11.2,Y, 18.4,Y, 14.8,Y, 11.2,Y, 13.0,Y,SE   ,Y,SE   ,Y,SE   ,Y,SE   ,Y,SE   ,Y,E    ,Y,E    ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-08-06,   0.0,N,  ,  , 32.0,Y,  , 20.0,Y,  ,     , , 14.8,Y, 11.2,Y,  7.6,Y,  9.4,Y, 18.4,Y, 11.2,Y, 11.2,Y,  9.4,Y,SE   ,Y,SE   ,Y,ESE  ,Y,SE   ,Y,ESE  ,Y,NE   ,Y,ENE  ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-08-07,   0.0,N,  ,  , 31.0,Y,  , 19.0,Y,  ,     , , 11.2,Y,  5.4,Y,  5.4,Y, 11.2,Y, 20.5,Y, 25.9,Y,  9.4,Y, 14.8,Y,SE   ,Y,ESE  ,Y,SSE  ,Y,SE   ,Y,N    ,Y,N    ,Y,NE   ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-08-08,   0.0,N,  ,  , 32.0,Y,  , 18.0,Y,  ,     , , 11.2,Y,  7.6,Y,     , ,  5.4,Y, 14.8,Y, 20.5,Y, 16.6,Y,  7.6,Y,ESE  ,Y,ESE  ,Y,     , ,SSW  ,Y,SE   ,Y,ESE  ,Y,ESE  ,Y,SE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-08-09,   0.0,N,  ,  , 31.0,Y,  , 17.0,Y,  ,     , ,  7.6,Y,  7.6,Y,  9.4,Y, 13.0,Y, 20.5,Y, 14.8,Y, 13.0,Y,  7.6,Y,S    ,Y,SSE  ,Y,SE   ,Y,SE   ,Y,ESE  ,Y,ESE  ,Y,ENE  ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2001-08-10,   0.0,N,  ,  , 31.0,Y,  , 20.0,Y,  ,     , , 11.2,Y,  0.0,Y, 13.0,Y, 13.0,Y, 14.8,Y, 16.6,Y, 11.2,Y,  7.6,Y,SE   ,Y,CALM ,Y,SE   ,Y,SE   ,Y,ESE  ,Y,ESE  ,Y,ENE  ,Y,ESE  ,Y,#
