dc,Station Number,Station Name,Latitude,Longitude,Height above MSL,Month Day Year in YYYY-MM-DD format,Precipitation in the 24 hours before 9am (local time) in mm,Quality of precipitation value,Number of days of rain within the days of accumulation,Accumulated number of days over which the precipitation was measured,Maximum temperature in 24 hours after 9am (local time) in Degrees C,Quality of maximum temperature in 24 hours after 9am (local time),Days of accumulation of maximum temperature,Minimum temperature in 24 hours before 9am (local time) in Degrees C,Quality of minimum temperature in 24 hours before 9am (local time),Days of accumulation of minimum temperature,Average daily dew point temperature in Degrees C,Quality of overall dew point temperature observations used,Relative humidity for observation at 09 hours Local Time in percentage %,Quality of relative humidity for observation at 09 hours Local Time,Relative humidity for observation at 15 hours Local Time in percentage %,Quality of relative humidity for observation at 15 hours Local Time,Wind speed at 09 hours Local Time measured in km/h,Quality of wind speed at 09 hours Local Time,Wind speed at 15 hours Local Time measured in km/h,Quality of wind speed at 15 hours Local Time,Wind direction at 09 hours Local Time as 16 compass point text,Quality of wind direction at 09 hours Local Time,Wind direction at 15 hours Local Time as 16 compass point text,Quality of wind direction at 15 hours Local Time,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-08-15,   0.0,N,  ,  , 31.0,Y,  , 18.0,Y,  , 12.4,Y, 68,Y, 20,Y, 16.6,Y, 18.4,Y,SSE  ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-08-16,   0.0,N,  ,  , 30.0,Y,  , 17.0,Y,  , 13.1,Y, 55,Y, 27,Y,  7.6,Y, 16.6,Y,ESE  ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-08-17,   0.2,N,  , 1, 31.0,Y,  , 19.0,Y,  , 16.2,Y, 69,Y, 36,Y, 11.2,Y, 13.0,Y,SE   ,Y,SE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-08-18,   0.0,N,  ,  , 31.0,Y,  , 19.0,Y,  , 17.8,Y, 68,Y, 49,Y, 13.0,Y, 25.9,Y,SSE  ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-08-19,   0.0,N,  ,  , 32.0,Y,  , 21.0,Y,  , 17.3,Y, 64,Y, 42,Y, 13.0,Y, 24.1,Y,SE   ,Y,NNE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-08-20,   0.0,N,  ,  , 30.0,Y,  , 20.0,Y,  , 18.1,Y, 65,Y, 47,Y,  9.4,Y, 24.1,Y,S    ,Y,NNE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-08-21,   0.0,N,  ,  , 31.0,Y,  , 21.0,Y,  , 13.6,Y, 50,Y, 24,Y, 13.0,Y, 16.6,Y,ESE  ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-08-22,   0.0,N,  ,  , 31.0,Y,  , 21.0,Y,  , 16.6,Y, 55,Y, 48,Y, 11.2,Y, 25.9,Y,E    ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-08-23,   0.0,N,  ,  , 28.0,Y,  , 19.0,Y,  , 18.5,Y, 70,Y, 59,Y,  7.6,Y, 13.0,Y,NW   ,Y,NW   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-08-24,   0.2,N,  , 1, 31.0,Y,  , 19.0,Y,  , 18.7,Y, 80,Y, 56,Y, 11.2,Y, 25.9,Y,SE   ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-08-25,   0.0,N,  ,  , 31.0,Y,  , 20.0,Y,  , 16.7,Y, 66,Y, 52,Y, 11.2,Y, 25.9,Y,SE   ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-08-26,   0.0,N,  ,  , 32.0,Y,  , 19.0,Y,  , 13.5,Y, 47,Y, 27,Y,  7.6,Y, 18.4,Y,SSE  ,Y,NE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-08-27,   0.0,N,  ,  , 29.0,Y,  , 18.0,Y,  , 16.6,Y, 63,Y, 50,Y,  7.6,Y, 14.8,Y,NW   ,Y,NNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-08-28,   0.0,N,  ,  , 29.0,Y,  , 20.0,Y,  , 18.5,Y, 71,Y, 56,Y,  1.8,Y, 18.4,Y,SE   ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-08-29,   0.0,N,  ,  , 29.0,Y,  , 20.0,Y,  , 19.8,Y, 83,Y, 59,Y,  0.0,Y, 14.8,Y,CALM ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-08-30,   0.2,N,  , 1, 29.0,Y,  , 21.0,Y,  , 19.3,Y, 72,Y, 59,Y,  9.4,Y, 13.0,Y,N    ,Y,NW   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-08-31,   0.0,N,  ,  , 29.0,Y,  , 21.0,Y,  , 20.2,Y, 71,Y, 60,Y, 16.6,Y, 18.4,Y,N    ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-09-01,   0.0,N,  ,  , 30.0,Y,  , 20.0,Y,  , 20.1,Y, 68,Y, 61,Y,  5.4,Y, 22.3,Y,N    ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-09-02,   0.2,N,  , 1, 29.0,Y,  , 21.0,Y,  , 20.0,Y, 70,Y, 59,Y,  7.6,Y, 20.5,Y,N    ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-09-03,   0.0,N,  ,  , 33.0,Y,  , 20.0,Y,  , 19.0,Y, 64,Y, 38,Y,  9.4,Y, 13.0,Y,E    ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-09-04,   0.0,N,  ,  , 34.0,Y,  , 19.0,Y,  , 16.8,Y, 60,Y, 29,Y,  9.4,Y, 13.0,Y,SSE  ,Y,NE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-09-05,   0.0,N,  ,  , 31.0,Y,  , 20.0,Y,  , 20.0,Y, 68,Y, 59,Y, 14.8,Y, 22.3,Y,NE   ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-09-06,   0.0,N,  ,  , 29.0,Y,  , 21.0,Y,  , 20.4,Y, 62,Y, 59,Y, 13.0,Y, 20.5,Y,NNE  ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-09-07,   0.0,N,  ,  , 30.0,Y,  , 23.0,Y,  , 20.1,Y, 64,Y, 55,Y,  7.6,Y, 14.8,Y,NW   ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-09-08,   0.0,N,  ,  , 30.0,Y,  , 22.0,Y,  , 19.8,Y, 62,Y, 51,Y,  9.4,Y, 11.2,Y,WNW  ,Y,NNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-09-09,   0.0,N,  ,  , 34.0,Y,  , 23.0,Y,  , 18.1,Y, 45,Y, 28,Y,  7.6,Y, 13.0,Y,NE   ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-09-10,   0.0,N,  ,  , 35.0,Y,  , 23.0,Y,  , 16.6,Y, 49,Y, 22,Y, 20.5,Y, 20.5,Y,SE   ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-09-11,   0.0,N,  ,  , 33.0,Y,  , 21.0,Y,  , 11.0,Y, 52,Y, 13,Y, 14.8,Y, 24.1,Y,SE   ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-09-12,   0.0,N,  ,  , 33.0,Y,  , 19.0,Y,  , 11.9,Y, 50,Y, 14,Y, 13.0,Y, 16.6,Y,SE   ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-09-13,   0.0,N,  ,  , 31.0,Y,  , 21.0,Y,  , 17.1,Y, 57,Y, 37,Y, 13.0,Y, 13.0,Y,ESE  ,Y,ENE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-09-14,   0.0,N,  ,  , 32.0,Y,  , 19.0,Y,  , 16.7,Y, 65,Y, 38,Y, 13.0,Y, 14.8,Y,ESE  ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-09-15,   0.0,N,  ,  , 33.0,Y,  , 21.0,Y,  , 16.0,Y, 44,Y, 27,Y, 11.2,Y, 14.8,Y,ESE  ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-09-16,   0.0,N,  ,  , 33.0,Y,  , 22.0,Y,  , 18.1,Y, 55,Y, 35,Y, 13.0,Y, 16.6,Y,E    ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-09-17,   0.0,N,  ,  , 33.0,Y,  , 20.0,Y,  , 16.2,Y, 52,Y, 33,Y, 16.6,Y, 18.4,Y,SE   ,Y,ENE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-09-18,   0.0,N,  ,  , 32.0,Y,  , 18.0,Y,  , 16.5,Y, 56,Y, 33,Y, 18.4,Y, 16.6,Y,SE   ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-09-19,   0.0,N,  ,  , 33.0,Y,  , 21.0,Y,  , 17.3,Y, 57,Y, 35,Y, 11.2,Y, 20.5,Y,SE   ,Y,NE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-09-20,   0.0,N,  ,  , 32.0,Y,  , 22.0,Y,  , 18.6,Y, 75,Y, 37,Y,  9.4,Y, 13.0,Y,SE   ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-09-21,   0.0,N,  ,  , 33.0,Y,  , 24.0,Y,  , 19.5,Y, 56,Y, 48,Y, 13.0,Y, 24.1,Y,E    ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-09-22,   0.0,N,  ,  , 34.0,Y,  , 23.0,Y,  , 19.1,Y, 53,Y, 44,Y, 14.8,Y, 27.7,Y,NE   ,Y,NNE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-09-23,   0.0,N,  ,  , 32.0,Y,  , 20.0,Y,  , 18.5,Y, 64,Y, 41,Y, 11.2,Y, 24.1,Y,NE   ,Y,NNE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-09-24,   0.0,N,  ,  , 33.0,Y,  , 21.0,Y,  , 18.4,Y, 63,Y, 40,Y, 11.2,Y, 27.7,Y,E    ,Y,NNE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-09-25,   0.0,N,  ,  , 32.0,Y,  , 22.0,Y,  , 18.3,Y, 54,Y, 45,Y, 13.0,Y, 24.1,Y,ESE  ,Y,NNE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-09-26,   0.0,N,  ,  , 33.0,Y,  , 22.0,Y,  , 19.2,Y, 55,Y, 45,Y, 14.8,Y, 24.1,Y,E    ,Y,NE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-09-27,   0.0,N,  ,  , 31.0,Y,  , 22.0,Y,  , 20.3,Y, 59,Y, 53,Y, 13.0,Y, 29.5,Y,NE   ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-09-28,   0.0,N,  ,  , 33.0,Y,  , 21.0,Y,  , 19.4,Y, 66,Y, 41,Y, 11.2,Y, 25.9,Y,NE   ,Y,NNE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-09-29,   0.0,N,  ,  , 34.0,Y,  , 22.0,Y,  , 20.2,Y, 66,Y, 41,Y, 13.0,Y, 18.4,Y,NE   ,Y,NE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-09-30,   0.0,N,  ,  , 33.0,Y,  , 22.0,Y,  , 19.4,Y, 46,Y, 52,Y, 11.2,Y, 25.9,Y,NE   ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-10-01,   0.0,N,  ,  , 34.0,Y,  , 22.0,Y,  , 20.1,Y, 62,Y, 44,Y, 11.2,Y, 25.9,Y,SE   ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-10-02,   0.0,N,  ,  , 34.0,Y,  , 23.0,Y,  , 20.7,Y, 57,Y, 45,Y, 11.2,Y, 31.3,Y,E    ,Y,NNE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-10-03,   0.0,N,  ,  , 33.0,Y,  , 22.0,Y,  , 21.2,Y, 59,Y, 57,Y, 13.0,Y, 29.5,Y,ENE  ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-10-04,   0.0,N,  ,  , 33.0,Y,  , 23.0,Y,  , 20.0,Y, 55,Y, 49,Y, 13.0,Y, 25.9,Y,ENE  ,Y,NE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-10-05,   0.0,N,  ,  , 33.0,Y,  , 22.0,Y,  , 18.6,Y, 62,Y, 39,Y, 13.0,Y, 14.8,Y,E    ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-10-06,   0.0,N,  ,  , 33.0,Y,  , 22.0,Y,  , 19.1,Y, 62,Y, 40,Y, 11.2,Y, 16.6,Y,SE   ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-10-07,   0.0,N,  ,  , 33.0,Y,  , 22.0,Y,  , 19.2,Y, 58,Y, 44,Y, 14.8,Y, 20.5,Y,E    ,Y,NE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-10-08,   0.0,N,  ,  , 34.0,Y,  , 22.0,Y,  , 19.4,Y, 53,Y, 45,Y, 14.8,Y, 27.7,Y,E    ,Y,NNE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-10-09,   0.0,N,  ,  , 33.0,Y,  , 22.0,Y,  , 20.9,Y, 62,Y, 56,Y,  9.4,Y, 25.9,Y,NE   ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-10-10,   0.0,N,  ,  , 34.0,Y,  , 23.0,Y,  , 20.6,Y, 53,Y, 49,Y, 11.2,Y, 27.7,Y,ENE  ,Y,NNE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-10-11,   0.0,N,  ,  , 34.0,Y,  , 24.0,Y,  , 21.2,Y, 59,Y, 49,Y, 16.6,Y, 27.7,Y,NE   ,Y,NNE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-10-12,   0.0,N,  ,  , 32.0,Y,  , 23.0,Y,  , 21.7,Y, 65,Y, 58,Y, 22.3,Y, 29.5,Y,N    ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-10-13,   0.0,N,  ,  , 31.0,Y,  , 24.0,Y,  , 21.4,Y, 61,Y, 60,Y, 18.4,Y, 16.6,Y,NNE  ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-10-14,   0.0,N,  ,  , 32.0,Y,  , 25.0,Y,  , 21.6,Y, 67,Y, 59,Y,  9.4,Y, 25.9,Y,N    ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-10-15,   0.0,N,  ,  ,     , ,  , 23.0,Y,  , 20.6,Y, 57,Y, 48,Y, 13.0,Y, 27.7,Y,ESE  ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-10-16,      , ,  ,  , 35.0,Y,  ,     , ,  , 19.7,Y,   , , 40,Y,     , , 29.5,Y,     , ,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-10-17,      , ,  ,  , 32.0,Y,  , 21.0,Y,  , 20.4,Y, 60,Y, 59,Y, 16.6,Y, 25.9,Y,NE   ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-10-18,   0.0,N,  ,  , 34.0,Y,  , 24.0,Y,  , 20.6,Y, 58,Y, 42,Y, 18.4,Y, 22.3,Y,NE   ,Y,NE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-10-19,   0.0,N,  ,  , 34.0,Y,  , 23.0,Y,  , 18.8,Y, 52,Y, 36,Y, 18.4,Y, 25.9,Y,NE   ,Y,NNE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-10-20,   0.0,N,  ,  ,     , ,  , 26.0,Y,  , 20.4,Y, 69,Y, 78,Y,  9.4,Y,  7.6,Y,ESE  ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-10-21,      , ,  ,  , 30.0,Y,  ,     , ,  , 21.4,Y,   , , 63,Y,     , ,  7.6,Y,     , ,NNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-10-22,      , ,  ,  , 31.0,Y,  , 23.0,Y,  , 20.8,Y, 67,Y, 59,Y, 20.5,Y, 16.6,Y,SSE  ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-10-23,   0.0,N,  ,  , 32.0,Y,  , 23.0,Y,  , 20.6,Y, 64,Y, 55,Y,  7.6,Y, 16.6,Y,W    ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-10-24,   0.4,N,  , 1, 31.0,Y,  , 23.0,Y,  , 21.3,Y, 62,Y, 56,Y, 11.2,Y, 16.6,Y,N    ,Y,NNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-10-25,   0.0,N,  ,  , 32.0,Y,  , 24.0,Y,  , 21.3,Y, 64,Y, 55,Y,  9.4,Y, 20.5,Y,WSW  ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-10-26,   0.0,N,  ,  , 32.0,Y,  , 25.0,Y,  , 20.8,Y, 57,Y, 55,Y,  9.4,Y, 20.5,Y,NW   ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-10-27,   0.0,N,  ,  , 31.0,Y,  , 24.0,Y,  , 22.1,Y, 62,Y, 62,Y,  5.4,Y, 18.4,Y,SE   ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-10-28,   8.0,N,  , 1, 32.0,Y,  , 24.0,Y,  , 22.3,Y, 65,Y, 59,Y, 14.8,Y, 20.5,Y,N    ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-10-29,   0.0,N,  ,  , 33.0,Y,  , 27.0,Y,  , 21.8,Y, 59,Y, 53,Y, 14.8,Y, 13.0,Y,W    ,Y,NW   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-10-30,   0.0,N,  ,  , 32.0,Y,  , 26.0,Y,  , 21.3,Y, 54,Y, 56,Y, 11.2,Y, 22.3,Y,SSE  ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-10-31,   0.0,N,  ,  , 32.0,Y,  , 25.0,Y,  , 21.1,Y, 64,Y, 57,Y, 14.8,Y, 18.4,Y,N    ,Y,NNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-11-01,   0.0,N,  ,  , 32.0,Y,  , 28.0,Y,  , 22.6,Y, 65,Y, 57,Y, 14.8,Y, 20.5,Y,NW   ,Y,NNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-11-02,   0.0,N,  ,  , 32.0,Y,  , 29.0,Y,  , 23.8,Y, 70,Y, 66,Y, 24.1,Y, 24.1,Y,NW   ,Y,NW   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-11-03,   0.0,N,  ,  , 33.0,Y,  , 29.0,Y,  , 24.3,Y, 68,Y, 65,Y, 14.8,Y, 18.4,Y,NW   ,Y,NNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-11-04,   0.0,N,  ,  , 33.0,Y,  , 28.0,Y,  , 23.3,Y, 61,Y, 62,Y, 18.4,Y, 16.6,Y,WNW  ,Y,NW   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-11-05,   0.2,N,  , 1, 33.0,Y,  , 29.0,Y,  , 23.3,Y, 68,Y, 62,Y, 13.0,Y, 20.5,Y,WNW  ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-11-06,   0.0,N,  ,  , 32.0,Y,  , 29.0,Y,  , 21.9,Y, 58,Y, 79,Y, 18.4,Y, 13.0,Y,NW   ,Y,S    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-11-07,   3.0,N,  , 1, 33.0,Y,  , 24.0,Y,  , 22.3,Y, 61,Y, 59,Y,  7.6,Y, 22.3,Y,NW   ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-11-08,   0.0,N,  ,  , 33.0,Y,  , 29.0,Y,  , 22.6,Y, 58,Y, 61,Y, 14.8,Y, 24.1,Y,NW   ,Y,NNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-11-09,   0.0,N,  ,  , 33.0,Y,  , 28.0,Y,  , 22.9,Y, 61,Y, 64,Y, 22.3,Y, 25.9,Y,W    ,Y,NW   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-11-10,   0.0,N,  ,  , 33.0,Y,  , 28.0,Y,  , 23.6,Y, 65,Y, 60,Y, 24.1,Y, 24.1,Y,NNW  ,Y,NW   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-11-11,  24.0,N,  , 1, 31.0,Y,  , 22.0,Y,  , 21.4,Y, 78,Y, 57,Y, 11.2,Y, 11.2,Y,NNE  ,Y,NW   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-11-12,   0.0,N,  ,  , 32.0,Y,  , 24.0,Y,  , 22.4,Y, 60,Y, 82,Y,  9.4,Y,  9.4,Y,N    ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-11-13,  10.0,N,  , 1, 33.0,Y,  , 25.0,Y,  , 21.8,Y, 58,Y, 53,Y,  9.4,Y, 18.4,Y,ENE  ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-11-14,   0.0,N,  ,  , 33.0,Y,  , 25.0,Y,  , 22.5,Y, 62,Y, 55,Y, 11.2,Y, 13.0,Y,N    ,Y,NW   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-11-15,   0.0,N,  ,  , 33.0,Y,  , 25.0,Y,  , 22.2,Y, 63,Y, 56,Y, 11.2,Y, 18.4,Y,N    ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-11-16,  18.0,N,  , 1, 33.0,Y,  , 23.0,Y,  , 22.0,Y, 67,Y, 58,Y,  7.6,Y, 20.5,Y,E    ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-11-17,   0.2,N,  , 1, 33.0,Y,  , 24.0,Y,  , 21.4,Y, 52,Y, 54,Y,  9.4,Y, 25.9,Y,ENE  ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-11-18,  47.0,N,  , 1, 32.0,Y,  , 22.0,Y,  , 23.1,Y, 70,Y, 59,Y,  7.6,Y, 13.0,Y,NNE  ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-11-19,   0.0,N,  ,  , 33.0,Y,  , 25.0,Y,  , 22.3,Y, 60,Y, 51,Y,  9.4,Y, 11.2,Y,N    ,Y,NW   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-11-20,   0.0,N,  ,  , 33.0,Y,  , 25.0,Y,  , 22.7,Y, 59,Y, 57,Y,  9.4,Y, 20.5,Y,NNW  ,Y,NNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-11-21,   0.0,N,  ,  , 33.0,Y,  , 26.0,Y,  , 23.3,Y, 61,Y, 64,Y, 13.0,Y, 22.3,Y,NNW  ,Y,NNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-11-22,   0.2,N,  , 1, 34.0,Y,  , 29.0,Y,  , 24.2,Y, 72,Y, 55,Y, 16.6,Y, 18.4,Y,W    ,Y,NW   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-11-23,   0.0,N,  ,  , 33.0,Y,  , 30.0,Y,  , 23.7,Y, 63,Y, 57,Y, 25.9,Y, 16.6,Y,WSW  ,Y,NW   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-11-24,   0.0,N,  ,  , 34.0,Y,  , 26.0,Y,  , 22.3,Y, 58,Y, 53,Y, 13.0,Y, 16.6,Y,WSW  ,Y,NNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-11-25,   0.0,N,  ,  , 34.0,Y,  , 27.0,Y,  , 24.3,Y, 68,Y, 56,Y, 13.0,Y, 18.4,Y,SW   ,Y,NNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-11-26,   0.0,N,  ,  , 34.0,Y,  , 30.0,Y,  , 23.9,Y, 62,Y, 57,Y, 13.0,Y, 13.0,Y,WNW  ,Y,WNW  ,Y,#
